,0.395b???r&&3,1594.8269
269195439,2.4282,3725.5859,9046.5029
269195479,2.2435,3735.3516,8380.0908
269195518,2.1643,3764.6484,8147.7300
269195557,2.2171,3759.7656,8335.6289
269195597,2.1379,3837.8906,8204.9502
269195636,2.0851,3784.1797,7890.3667
269195676,2.2171,3754.8828,8324.8037
269195716,2.3490,3745.1172,8797.3887
269195755,2.4546,3691.4063,9060.9365
269195795,2.6130,3706.0547,9683.7900
269195834,2.6130,3706.0547,9683.7900
269195874,2.5338,3710.9375,9402.7129
269195914,2.6658,3666.9922,9775.2910
269195953,2.7185,3681.6406,10008.6830
269195994,2.7713,3710.9375,10284.2180
269196034,2.6921,3681.6406,9911.5117
269196073,2.6921,3666.9922,9872.0762
269196113,2.6658,3666.9922,9775.2910
269196152,2.5866,3681.6406,9522.8252
269196192,2.4546,3730.4688,9156.8193
269196231,2.3226,3725.5859,8653.1768
269196271,2.3226,3837.8906,8914.0195
269196310,2.1115,3750.0000,7918.0742
269196350,2.0323,3808.5938,7740.2271
269196390,2.0851,3759.7656,7839.4609
269196429,2.2435,3769.5313,8456.7715
269196469,2.4018,3710.9375,8912.9883
269196508,2.3490,3730.4688,8762.9785
269196548,2.5074,3701.1719,9280.2822
269196588,2.5074,3725.5859,9341.4980
269196626,2.6921,3691.4063,9937.8018
269196666,2.5602,3701.1719,9475.6563
269196705,2.5074,3681.6406,9231.3096
269196745,2.4546,3710.9375,9108.8779
269196785,2.4546,3613.2813,8869.1709
269196824,2.3226,3740.2344,8687.2002
269196864,2.3754,3710.9375,8815.0439
269196903,2.5074,3730.4688,9353.7412
269196943,2.4018,3681.6406,8842.6230
269196983,2.5338,3701.1719,9377.9688
269197022,2.4282,3706.0547,8999.0771
269197062,2.4810,3745.1172,9291.6230
269197101,2.3754,3706.0547,8803.4443
269197140,2.4546,3730.4688,9156.8193
269197180,2.4282,3701.1719,8987.2207
269197219,2.3490,3754.8828,8820.3281
269197259,2.1379,3725.5859,7964.8560
269197298,2.3490,3774.4141,8866.2070
269197338,2.3754,3710.9375,8815.0439
269197378,2.2962,3715.8203,8532.4209
269197417,2.1907,3745.1172,8204.3057
269197457,2.2171,3750.0000,8313.9775
269197496,2.3226,3740.2344,8687.2002
269197536,2.5602,3730.4688,9550.6611
269197575,2.3490,3745.1172,8797.3887
269197615,2.5074,3701.1719,9280.2822
269197655,2.6658,3691.4063,9840.3721
269197693,2.7185,3681.6406,10008.6830
269197734,2.7185,3676.7578,9995.4082
269197773,2.7185,3754.8828,10207.7950
269197814,2.6658,3666.9922,9775.2910
269197854,2.7713,3681.6406,10203.0260
269197894,2.6921,3686.5234,9924.6572
269197934,2.3490,3725.5859,8751.5088
269197973,2.2698,3745.1172,8500.8467
269198013,2.1907,3784.1797,8289.8779
269198053,2.2962,3735.3516,8577.2695
269198092,2.0851,3789.0625,7900.5479
269198132,2.0587,3745.1172,7710.0703
269198171,2.1643,3730.4688,8073.7554
269198211,2.2962,3750.0000,8610.9053
269198251,2.3490,3745.1172,8797.3887
269198289,2.4282,3710.9375,9010.9336
269198329,2.3754,3750.0000,8907.8330
269198368,2.4546,3710.9375,9108.8779
269198408,2.6130,3706.0547,9683.7900
269198448,2.6921,3676.7578,9898.3662
269198487,2.6658,3686.5234,9827.3564
269198527,2.6921,3701.1719,9964.0928
269198566,2.7185,3666.9922,9968.8604
269198606,2.6658,3686.5234,9827.3564
269198646,2.5602,3706.0547,9488.1572
269198685,2.3490,3706.0547,8705.6289
269198725,2.2698,3754.8828,8523.0127
269198764,2.1907,3725.5859,8161.5186
269198803,2.2962,3750.0000,8610.9053
269198843,2.2171,3740.2344,8292.3271
269198882,2.1907,3769.5313,8257.7881
269198922,2.1643,3754.8828,8126.5942
269198961,2.2698,3745.1172,8500.8467
269199001,2.4282,3754.8828,9117.6426
269199040,2.4810,3725.5859,9243.1660
269199080,2.4810,3715.8203,9218.9375
269199120,2.5866,3691.4063,9548.0840
269199159,2.7185,3676.7578,9995.4082
269199199,2.7185,3696.2891,10048.5050
269199239,2.6130,3706.0547,9683.7900
269199279,2.6658,3686.5234,9827.3564
269199319,2.7449,3676.7578,10092.4520
269199358,2.7713,3686.5234,10216.5590
269199399,2.6921,3696.2891,9950.9473
269199438,2.4018,3715.8203,8924.7158
269199478,2.2962,3745.1172,8599.6934
269199518,2.1907,3750.0000,8215.0020
269199557,2.1643,3769.5313,8158.2974
269199597,2.0059,3769.5313,7561.3481
269199636,2.0587,3769.5313,7760.3315
269199676,2.0851,3774.4141,7870.0044
269199716,2.2435,3735.3516,8380.0908
269199755,2.4018,3745.1172,8995.0820
269199795,2.3754,3720.7031,8838.2412
269199834,2.5074,3730.4688,9353.7412
269199874,2.5074,3696.2891,9268.0391
269199913,2.5602,3701.1719,9475.6563
269199952,2.6394,3676.7578,9704.2803
269199992,2.6658,3691.4063,9840.3721
269200031,2.6921,3666.9922,9872.0762
269200071,2.9297,3652.3438,10700.2260
269200112,2.7713,3652.3438,10121.8350
269200152,2.7977,3662.1094,10245.5550
269200193,2.6658,3676.7578,9801.3232
269200232,2.6130,3706.0547,9683.7900
269200272,2.5074,3706.0547,9292.5254
269200312,2.4018,3740.2344,8983.3545
269200351,2.3490,3725.5859,8751.5088
269200391,2.1643,3774.4141,8168.8652
269200430,2.2962,3740.2344,8588.4814
269200470,2.2435,3759.7656,8434.8633
269200509,2.0587,3769.5313,7760.3315
269200548,2.1115,3750.0000,7918.0742
269200588,2.2698,3764.6484,8545.1797
269200627,2.3754,3701.1719,8791.8457
269200667,2.2962,3759.7656,8633.3301
269200707,2.5602,3701.1719,9475.6563
269200746,2.6394,3632.8125,9588.2930
269200786,2.8505,3676.7578,10480.6230
269200826,2.9297,3647.4609,10685.9210
269200867,2.7449,3647.4609,10012.0340
269200908,2.7449,3657.2266,10038.8400
269200948,2.7185,3686.5234,10021.9570
269200989,2.4810,3720.7031,9231.0518
269201028,2.4282,3710.9375,9010.9336
269201068,2.2962,3769.5313,8655.7539
269201107,2.2435,3740.2344,8391.0459
269201146,2.2171,3779.2969,8378.9307
269201186,2.0587,3764.6484,7750.2793
269201225,2.0059,3779.2969,7580.9370
269201265,2.1907,3754.8828,8225.6982
269201305,2.4018,3720.7031,8936.4443
269201344,2.2435,3745.1172,8402.0000
269201384,2.3226,3706.0547,8607.8125
269201423,2.4546,3735.3516,9168.8047
269201463,2.3226,3720.7031,8641.8359
269201502,2.3490,3740.2344,8785.9180
269201542,2.4546,3706.0547,9096.8926
269201582,2.4546,3730.4688,9156.8193
269201620,2.3226,3720.7031,8641.8359
269201660,2.4810,3715.8203,9218.9375
269201699,2.6921,3686.5234,9924.6572
269201739,2.4282,3725.5859,9046.5029
269201779,2.8241,3671.8750,10369.7900
269201819,2.6130,3706.0547,9683.7900
269201859,2.2962,3750.0000,8610.9053
269201898,2.1907,3754.8828,8225.6982
269201938,2.0323,3779.2969,7680.6865
269201978,2.0587,3798.8281,7820.6450
269202017,2.1643,3745.1172,8105.4590
269202057,2.3226,3745.1172,8698.5410
269202096,2.2435,3754.8828,8423.9082
269202136,2.2962,3750.0000,8610.9053
269202176,2.5602,3710.9375,9500.6582
269202214,2.6130,3710.9375,9696.5488
269202254,2.6130,3701.1719,9671.0313
269202293,2.3754,3774.4141,8965.8271
269202333,2.4018,3720.7031,8936.4443
269202373,2.4546,3735.3516,9168.8047
269202412,2.1643,3759.7656,8137.1621
269202452,1.9003,3789.0625,7200.4985
269202491,1.9531,3789.0625,7400.5127
269202531,2.1907,3754.8828,8225.6982
269202571,2.2435,3750.0000,8412.9541
269202610,2.0587,3750.0000,7720.1226
269202650,2.2962,3754.8828,8622.1182
269202689,2.5866,3681.6406,9522.8252
269202728,2.8505,3671.8750,10466.7050
269202769,2.8241,3662.1094,10342.2110
269202809,2.3226,3725.5859,8653.1768
269202849,2.1907,3764.6484,8247.0918
269202888,2.2171,3754.8828,8324.8037
269202928,2.3754,3764.6484,8942.6299
269202967,2.0587,3779.2969,7780.4360
269203007,1.9795,3808.5938,7539.1821
269203047,2.0851,3774.4141,7870.0044
269203086,2.1379,3759.7656,8037.9282
269203126,2.3226,3720.7031,8641.8359
269203165,2.4546,3706.0547,9096.8926
269203205,2.5602,3710.9375,9500.6582
269203245,2.5602,3593.7500,9200.6377
269203283,2.5866,3691.4063,9548.0840
269203323,2.6921,3701.1719,9964.0928
269203362,2.4282,3696.2891,8975.3643
269203402,2.4546,3745.1172,9192.7754
269203442,2.3226,3715.8203,8630.4951
269203481,2.3226,3745.1172,8698.5410
269203521,2.1643,3735.3516,8084.3232
269203560,2.2171,3833.0078,8498.0117
269203600,2.2698,3754.8828,8523.0127
269203640,2.3226,3750.0000,8709.8818
269203679,2.3226,3740.2344,8687.2002
269203719,2.2962,3740.2344,8588.4814
269203758,2.2962,3735.3516,8577.2695
269203798,2.3226,3735.3516,8675.8594
269203837,2.4810,3745.1172,9291.6230
269203876,2.3754,3710.9375,8815.0439
269203916,2.1643,3779.2969,8179.4331
269203955,2.4018,3725.5859,8948.1719
269203995,2.4282,3730.4688,9058.3594
269204035,2.4282,3715.8203,9022.7900
269204074,2.2962,3715.8203,8532.4209
269204114,2.3226,3725.5859,8653.1768
269204153,2.3226,3730.4688,8664.5176
269204193,2.4282,3735.3516,9070.2168
269204232,2.2698,3725.5859,8456.5137
269204272,2.2962,3720.7031,8543.6328
269204312,2.4282,3740.2344,9082.0732
269204350,2.3226,3759.7656,8732.5635
269204390,2.3226,3720.7031,8641.8359
269204429,2.1379,3769.5313,8058.8057
269204469,2.3226,3710.9375,8619.1543
269204509,2.3490,3750.0000,8808.8584
269204548,2.4546,3730.4688,9156.8193
269204588,2.4282,3769.5313,9153.2119
269204627,2.3490,3730.4688,8762.9785
269204667,2.4282,3725.5859,9046.5029
269204707,2.9033,3662.1094,10632.1800
269204747,2.8241,3652.3438,10314.6320
269204788,2.8505,3686.5234,10508.4600
269204828,2.1643,3745.1172,8105.4590
269204868,2.0323,3784.1797,7690.6099
269204908,1.8476,3798.8281,7018.5273
269204946,1.8476,3823.2422,7063.6333
269204986,1.8212,3798.8281,6918.2627
269205025,1.8212,3833.0078,6980.5093
269205065,1.7420,3818.3594,6651.4917
269205105,1.8212,3798.8281,6918.2627
269205144,2.0059,3803.7109,7629.9097
269205184,1.7420,3784.1797,6591.9517
269205223,2.0851,3750.0000,7819.0986
269205263,1.5308,3833.0078,5867.6748
269205303,1.5308,3867.1875,5919.9980
269205342,1.6100,3837.8906,6179.0366
269205382,1.3989,3881.8359,5430.1440
269205421,1.5044,3886.7188,5847.3125
269205460,1.6892,3837.8906,6482.9233
269205500,1.6364,3842.7734,6288.3223
269205539,1.6100,3842.7734,6186.8979
269205579,1.7156,3842.7734,6592.5957
269205618,1.5308,3852.5391,5897.5737
269205658,1.5836,3833.0078,6070.0078
269205698,1.5836,3852.5391,6100.9380
269205737,1.7420,3842.7734,6694.0205
269205777,0.5015,4003.9063,2007.8710
269205816,0.5015,4008.7891,2010.3196
269205856,0.5015,3989.2578,2000.5251
269205895,0.4487,4013.6719,1800.8981
269205935,0.4487,4003.9063,1796.5162
269205975,0.4487,4003.9063,1796.5162
269206013,0.4487,4013.6719,1800.8981
269206053,0.4751,4013.6719,1906.8331
269206092,0.4751,4008.7891,1904.5133
269206132,0.4487,4008.7891,1798.7072
269206172,0.6071,4003.9063,2430.5808
269206211,0.5015,4008.7891,2010.3196
269206251,0.4223,3999.0234,1688.7769
269206290,0.4751,4013.6719,1906.8331
269206330,0.4751,3999.0234,1899.8739
269206370,0.4487,4008.7891,1798.7072
269206409,0.4487,4008.7891,1798.7072
269206449,0.5807,4013.6719,2330.5740
269206488,0.4487,3994.1406,1792.1345
269206528,0.4751,4013.6719,1906.8331
269206567,0.5015,4018.5547,2015.2168
269206606,0.4487,4013.6719,1800.8981
269206646,0.4751,4008.7891,1904.5133
269206685,0.6071,4008.7891,2433.5449
269206725,0.4487,4018.5547,1803.0889
269206765,0.5807,4003.9063,2324.9033
269206804,0.4223,4003.9063,1690.8387
269206844,0.4751,4008.7891,1904.5133
269206883,0.4751,4003.9063,1902.1936
269206923,0.5279,4018.5547,2121.2810
269206963,0.4487,4013.6719,1800.8981
269207002,0.4223,4008.7891,1692.9008
269207042,0.4223,4018.5547,1697.0248
269207080,0.4223,4018.5547,1697.0248
269207120,0.4751,4008.7891,1904.5133
269207159,0.4487,4003.9063,1796.5162
269207199,0.5015,4013.6719,2012.7682
269207239,0.4751,4018.5547,1909.1528
269207278,0.4487,4082.0313,1831.5702
269207318,0.4223,4003.9063,1690.8387
269207357,0.5015,4013.6719,2012.7682
269207397,0.5015,4003.9063,2007.8710
269207437,0.4487,4008.7891,1798.7072
269207476,0.4487,3999.0234,1794.3254
269207516,0.4487,3999.0234,1794.3254
269207555,0.6334,4013.6719,2542.4441
269207595,0.4223,4023.4375,1699.0868
269207634,0.5015,4013.6719,2012.7682
269207673,0.4487,4018.5547,1803.0889
269207713,0.4751,3999.0234,1899.8739
269207752,0.5015,4013.6719,2012.7682
269207792,0.4487,4013.6719,1800.8981
269207832,0.4751,4013.6719,1906.8331
269207871,0.4751,4013.6719,1906.8331
269207911,0.5015,4013.6719,2012.7682
269207950,0.4751,3994.1406,1897.5541
269207990,0.5279,4008.7891,2116.1260
269208030,0.5015,4013.6719,2012.7682
269208069,0.4487,4018.5547,1803.0889
269208109,0.4751,4008.7891,1904.5133
269208147,0.4223,4013.6719,1694.9628
269208187,0.4487,4013.6719,1800.8981
269208227,0.4223,4023.4375,1699.0868
269208266,0.4487,4023.4375,1805.2798
269208306,0.5015,4121.0938,2066.6379
269208345,0.4751,4018.5547,1909.1528
269208385,0.4751,4018.5547,1909.1528
269208424,0.4487,4018.5547,1803.0889
269208464,0.4487,4018.5547,1803.0889
269208504,0.4751,3994.1406,1897.5541
269208543,0.5015,4013.6719,2012.7682
269208583,0.4487,4023.4375,1805.2798
269208622,0.4487,4013.6719,1800.8981
269208662,0.4751,4018.5547,1909.1528
269208701,0.5015,4018.5547,2015.2168
269208740,0.4223,4013.6719,1694.9628
269208780,0.4487,4028.3203,1807.4706
269208819,0.5807,4145.5078,2407.1255
269208859,0.5015,4013.6719,2012.7682
269208899,0.4751,4023.4375,1911.4727
269208938,0.5015,4013.6719,2012.7682
269208978,0.4487,4023.4375,1805.2798
269209017,0.4487,4023.4375,1805.2798
269209057,0.5015,4018.5547,2015.2168
269209097,0.4487,4023.4375,1805.2798
269209136,0.4223,4018.5547,1697.0248
269209176,0.4487,4018.5547,1803.0889
269209214,0.4487,4023.4375,1805.2798
269209254,0.5279,4013.6719,2118.7034
269209294,0.4751,4013.6719,1906.8331
269209333,0.5015,4018.5547,2015.2168
269209373,0.5015,4013.6719,2012.7682
269209412,0.4487,4003.9063,1796.5162
269209452,0.3959,4018.5547,1590.9607
269209492,0.4487,4023.4375,1805.2798
269209531,0.4223,3994.1406,1686.7148
269209571,0.5279,4028.3203,2126.4360
269209610,0.4223,4018.5547,1697.0248
269209650,0.5015,4013.6719,2012.7682
269209689,0.5015,4023.4375,2017.6654
