6674
??N??980.2111,4052.7344,855.7294
258983083,1.9003,3769.5313,7163.3828
258983121,2.0323,3793.9453,7710.4565
258983161,2.0323,3745.1172,7611.2231
258983200,2.0323,3798.8281,7720.3799
258983240,2.1907,3754.8828,8225.6982
258983280,2.1907,3725.5859,8161.5186
258983319,2.2435,3740.2344,8391.0459
258983359,2.3754,3725.5859,8849.8398
258983398,2.3226,3735.3516,8675.8594
258983438,2.3754,3706.0547,8803.4443
258983477,2.2962,3720.7031,8543.6328
258983517,2.2698,3730.4688,8467.5967
258983557,2.1643,3754.8828,8126.5942
258983596,2.0323,3750.0000,7621.1465
258983635,1.9795,3774.4141,7471.5225
258983674,2.0323,3764.6484,7650.9165
258983714,2.0323,3774.4141,7670.7632
258983754,2.0851,3774.4141,7870.0044
258983793,2.1115,3759.7656,7938.6943
258983833,2.1643,3764.6484,8147.7300
258983872,2.1907,3735.3516,8182.9121
258983912,2.1643,3769.5313,8158.2974
258983952,2.2962,3720.7031,8543.6328
258983991,2.3490,3764.6484,8843.2676
258984031,2.2698,3735.3516,8478.6797
258984070,2.2698,3725.5859,8456.5137
258984110,2.1643,3720.7031,8052.6201
258984150,2.1115,3764.6484,7949.0039
258984188,2.1115,3754.8828,7928.3843
258984228,2.0851,3754.8828,7829.2798
258984267,2.1643,3764.6484,8147.7300
258984307,2.1379,3745.1172,8006.6113
258984347,2.0059,3779.2969,7580.9370
258984386,2.1115,3754.8828,7928.3843
258984426,2.1115,3710.9375,7835.5942
258984465,2.1379,3750.0000,8017.0503
258984505,2.1379,3759.7656,8037.9282
258984545,2.2962,3754.8828,8622.1182
258984584,2.3226,3740.2344,8687.2002
258984624,2.1643,3769.5313,8158.2974
258984663,2.2435,3745.1172,8402.0000
258984702,2.2171,3769.5313,8357.2803
258984741,2.2171,3730.4688,8270.6758
258984781,2.3226,3754.8828,8721.2227
258984821,2.2435,3740.2344,8391.0459
258984860,2.2171,3759.7656,8335.6289
258984900,2.2435,3740.2344,8391.0459
258984939,2.2962,3745.1172,8599.6934
258984979,2.0587,3789.0625,7800.5405
258985019,1.9795,3754.8828,7432.8604
258985058,2.0851,3793.9453,7910.7290
258985098,2.1115,3740.2344,7897.4541
258985137,2.2698,3764.6484,8545.1797
258985177,2.2435,3745.1172,8402.0000
258985217,2.2435,3750.0000,8412.9541
258985255,2.2435,3730.4688,8369.1367
258985295,2.2962,3730.4688,8566.0576
258985334,2.2435,3740.2344,8391.0459
258985374,2.2698,3686.5234,8367.8477
258985414,2.1907,3774.4141,8268.4854
258985453,2.1379,3740.2344,7996.1724
258985493,2.1643,3764.6484,8147.7300
258985532,2.1907,3725.5859,8161.5186
258985572,2.1907,3769.5313,8257.7881
258985612,2.1643,3750.0000,8116.0264
258985651,2.0851,3750.0000,7819.0986
258985691,2.0851,3750.0000,7819.0986
258985730,2.0323,3754.8828,7631.0698
258985769,1.9531,3793.9453,7410.0493
258985809,2.0323,3779.2969,7680.6865
258985848,2.1643,3774.4141,8168.8652
258985888,2.2171,3740.2344,8292.3271
258985927,2.2698,3750.0000,8511.9297
258985967,2.2962,3740.2344,8588.4814
258986006,2.3226,3720.7031,8641.8359
258986046,2.2962,3740.2344,8588.4814
258986086,2.2962,3725.5859,8554.8447
258986125,2.2435,3754.8828,8423.9082
258986165,2.1907,3730.4688,8172.2153
258986204,2.2435,3784.1797,8489.6348
258986244,2.0851,3754.8828,7829.2798
258986284,2.0323,3789.0625,7700.5332
258986322,1.9531,3769.5313,7362.3657
258986362,2.0059,3779.2969,7580.9370
258986401,2.0323,3823.2422,7769.9971
258986441,2.0851,3745.1172,7808.9175
258986481,2.2698,3764.6484,8545.1797
258986520,2.2171,3725.5859,8259.8506
258986560,2.2435,3759.7656,8434.8633
258986599,2.2171,3750.0000,8313.9775
258986639,2.2435,3735.3516,8380.0908
258986679,2.2435,3750.0000,8412.9541
258986718,2.1643,3740.2344,8094.8911
258986758,2.1643,3750.0000,8116.0264
258986797,2.1115,3750.0000,7918.0742
258986836,2.1115,3774.4141,7969.6240
258986876,2.1379,3740.2344,7996.1724
258986915,2.2435,3789.0625,8500.5889
258986955,2.1643,3745.1172,8105.4590
258986994,2.1115,3759.7656,7938.6943
258987034,2.1379,3759.7656,8037.9282
258987074,2.0851,3764.6484,7849.6421
258987113,2.1643,3740.2344,8094.8911
258987153,2.1907,3764.6484,8247.0918
258987192,2.2435,3764.6484,8445.8174
258987232,2.2171,3725.5859,8259.8506
258987271,2.2698,3774.4141,8567.3457
258987311,2.1643,3725.5859,8063.1880
258987351,2.2171,3754.8828,8324.8037
258987389,2.2435,3745.1172,8402.0000
258987429,2.1643,3735.3516,8084.3232
258987468,2.1907,3759.7656,8236.3955
258987508,2.1379,3754.8828,8027.4893
258987548,2.1379,3779.2969,8079.6836
258987587,2.0323,3735.3516,7591.3765
258987627,2.1379,3779.2969,8079.6836
258987666,2.1907,3750.0000,8215.0020
258987706,2.2171,3754.8828,8324.8037
258987746,2.1379,3745.1172,8006.6113
258987785,2.2435,3745.1172,8402.0000
258987825,2.3226,3750.0000,8709.8818
258987864,2.2171,3730.4688,8270.6758
258987904,2.1907,3759.7656,8236.3955
258987943,2.1643,3754.8828,8126.5942
258987982,2.1643,3784.1797,8190.0005
258988022,2.0851,3745.1172,7808.9175
258988061,2.1907,3745.1172,8204.3057
258988101,2.2962,3735.3516,8577.2695
258988141,2.2698,3720.7031,8445.4297
258988180,2.1115,3754.8828,7928.3843
258988220,2.1643,3750.0000,8116.0264
258988259,2.1115,3759.7656,7938.6943
258988299,2.1643,3735.3516,8084.3232
258988339,2.1115,3730.4688,7876.8340
258988378,2.1379,3750.0000,8017.0503
258988418,2.2435,3764.6484,8445.8174
258988456,2.1379,3759.7656,8037.9282
258988496,2.2171,3745.1172,8303.1523
258988535,2.1907,3769.5313,8257.7881
258988575,2.2171,3735.3516,8281.5020
258988615,2.2171,3754.8828,8324.8037
258988654,2.1379,3740.2344,7996.1724
258988694,2.1115,3769.5313,7959.3140
258988733,2.1379,3740.2344,7996.1724
258988773,2.1643,3774.4141,8168.8652
258988813,2.2435,3754.8828,8423.9082
258988852,2.1907,3740.2344,8193.6084
258988892,2.1907,3745.1172,8204.3057
258988931,2.2171,3696.2891,8194.8975
258988971,2.1115,3769.5313,7959.3140
258989010,2.1379,3745.1172,8006.6113
258989049,2.0323,3784.1797,7690.6099
258989089,2.0323,3764.6484,7650.9165
258989128,2.2171,3730.4688,8270.6758
258989168,2.0851,3759.7656,7839.4609
258989208,2.1643,3740.2344,8094.8911
258989247,2.2171,3745.1172,8303.1523
258989287,2.2435,3735.3516,8380.0908
258989326,2.3490,3754.8828,8820.3281
258989366,2.1643,3740.2344,8094.8911
258989406,2.0851,3759.7656,7839.4609
258989445,2.0851,3764.6484,7849.6421
258989485,2.0059,3750.0000,7522.1704
258989523,2.0587,3764.6484,7750.2793
258989563,2.2171,3745.1172,8303.1523
258989603,2.1907,3750.0000,8215.0020
258989642,2.2698,3740.2344,8489.7627
258989682,2.2698,3754.8828,8523.0127
258989721,2.3226,3740.2344,8687.2002
258989761,2.2962,3754.8828,8622.1182
258989800,2.2698,3720.7031,8445.4297
258989840,2.2962,3750.0000,8610.9053
258989880,2.1643,3730.4688,8073.7554
258989919,2.2171,3725.5859,8259.8506
258989959,2.2698,3759.7656,8534.0957
258989998,2.2171,3745.1172,8303.1523
258990038,2.2171,3774.4141,8368.1055
258990077,2.0851,3740.2344,7798.7368
258990116,2.0851,3759.7656,7839.4609
258990156,2.0851,3769.5313,7859.8232
258990195,2.0587,3764.6484,7750.2793
258990235,2.0587,3740.2344,7700.0181
258990275,2.1379,3759.7656,8037.9282
258990314,2.0851,3779.2969,7880.1855
258990354,2.3226,3730.4688,8664.5176
258990393,2.3226,3706.0547,8607.8125
258990433,2.2962,3725.5859,8554.8447
258990473,2.3226,3754.8828,8721.2227
258990512,2.2698,3730.4688,8467.5967
258990552,2.1115,3745.1172,7907.7642
258990590,2.1907,3745.1172,8204.3057
258990630,2.1379,3745.1172,8006.6113
258990670,2.2698,3769.5313,8556.2627
258990709,2.2171,3603.5156,7989.2134
258990749,2.1907,3750.0000,8215.0020
258990788,2.3490,3730.4688,8762.9785
258990828,2.1643,3754.8828,8126.5942
258990868,2.1907,3764.6484,8247.0918
258990907,2.1115,3764.6484,7949.0039
258990947,2.0323,3754.8828,7631.0698
258990986,2.1115,3740.2344,7897.4541
258991026,2.2435,3769.5313,8456.7715
258991065,2.2435,3745.1172,8402.0000
258991105,2.2171,3754.8828,8324.8037
258991144,2.2171,3730.4688,8270.6758
258991183,2.3226,3740.2344,8687.2002
258991223,2.2171,3735.3516,8281.5020
258991262,2.2171,3750.0000,8313.9775
258991302,2.1379,3745.1172,8006.6113
258991342,2.1379,3740.2344,7996.1724
258991381,2.2962,3740.2344,8588.4814
258991421,2.2171,3745.1172,8303.1523
258991460,2.1907,3754.8828,8225.6982
258991500,2.1643,3740.2344,8094.8911
258991540,2.1643,3769.5313,8158.2974
258991579,2.1907,3745.1172,8204.3057
258991619,2.0851,3779.2969,7880.1855
258991657,2.1379,3769.5313,8058.8057
258991697,2.1115,3774.4141,7969.6240
258991737,2.1115,3764.6484,7949.0039
258991776,2.2171,3730.4688,8270.6758
258991816,2.2698,3759.7656,8534.0957
258991855,2.1643,3715.8203,8042.0522
258991895,2.3490,3764.6484,8843.2676
258991935,2.2435,3735.3516,8380.0908
258991974,2.2698,3745.1172,8500.8467
258992014,2.3226,3735.3516,8675.8594
258992053,2.1643,3740.2344,8094.8911
258992093,2.1643,3750.0000,8116.0264
258992133,2.1643,3740.2344,8094.8911
258992172,2.1907,3774.4141,8268.4854
258992211,2.0059,3745.1172,7512.3760
258992250,2.0587,3793.9453,7810.5928
258992290,2.0587,3750.0000,7720.1226
258992329,2.1379,3774.4141,8069.2446
258992369,2.1379,3754.8828,8027.4893
258992409,2.1907,3740.2344,8193.6084
258992448,2.3490,3764.6484,8843.2676
258992488,2.2171,3671.8750,8140.7700
258992527,2.2962,3740.2344,8588.4814
258992567,2.3490,3715.8203,8728.5693
258992607,2.3226,3735.3516,8675.8594
258992646,2.2698,3720.7031,8445.4297
258992686,2.2435,3769.5313,8456.7715
258992724,2.2171,3740.2344,8292.3271
258992764,2.1643,3793.9453,8211.1357
258992804,2.1907,3759.7656,8236.3955
258992843,2.1379,3740.2344,7996.1724
258992883,2.1379,3774.4141,8069.2446
258992922,2.2171,3769.5313,8357.2803
258992962,1.9795,3784.1797,7490.8540
258993002,2.0059,3754.8828,7531.9648
258993041,2.0323,3784.1797,7690.6099
258993081,2.1643,3735.3516,8084.3232
258993120,2.1115,3759.7656,7938.6943
258993160,2.1379,3764.6484,8048.3667
258993200,2.1643,3720.7031,8052.6201
258993239,2.2435,3759.7656,8434.8633
258993278,2.1643,3652.3438,7904.6719
258993317,2.2435,3759.7656,8434.8633
258993357,2.2962,3750.0000,8610.9053
258993397,2.1115,3730.4688,7876.8340
258993436,2.1907,3740.2344,8193.6084
258993476,2.2698,3745.1172,8500.8467
258993515,2.3226,3745.1172,8698.5410
258993555,2.2962,3715.8203,8532.4209
258993594,2.1907,3750.0000,8215.0020
258993634,2.2171,3730.4688,8270.6758
258993674,2.1907,3759.7656,8236.3955
258993713,2.2435,3725.5859,8358.1826
258993753,2.1379,3754.8828,8027.4893
258993792,2.1907,3662.1094,8022.4629
258993831,2.1115,3759.7656,7938.6943
258993871,2.0323,3759.7656,7640.9932
258993910,2.0851,3750.0000,7819.0986
258993950,2.1115,3784.1797,7990.2441
258993989,2.1115,3740.2344,7897.4541
258994029,2.1643,3774.4141,8168.8652
258994069,2.1643,3730.4688,8073.7554
258994108,2.0851,3769.5313,7859.8232
258994148,2.1115,3754.8828,7928.3843
258994187,2.1115,3740.2344,7897.4541
258994227,2.1643,3754.8828,8126.5942
258994267,2.1379,3740.2344,7996.1724
258994306,2.2435,3769.5313,8456.7715
258994345,2.2171,3740.2344,8292.3271
258994384,2.1643,3764.6484,8147.7300
258994424,2.1379,3730.4688,7975.2949
258994464,2.2698,3754.8828,8523.0127
258994503,2.1643,3740.2344,8094.8911
258994543,2.1643,3774.4141,8168.8652
258994582,2.1379,3754.8828,8027.4893
258994622,2.1643,3735.3516,8084.3232
258994662,2.2171,3745.1172,8303.1523
258994701,2.1907,3740.2344,8193.6084
258994741,2.2435,3769.5313,8456.7715
258994780,2.2698,3715.8203,8434.3467
258994820,2.2435,3745.1172,8402.0000
258994859,2.1643,3730.4688,8073.7554
258994898,2.2171,3745.1172,8303.1523
258994938,2.1115,3764.6484,7949.0039
258994977,2.0323,3759.7656,7640.9932
258995017,1.9267,3803.7109,7328.7295
258995056,2.0059,3793.9453,7610.3208
258995096,2.0587,3774.4141,7770.3838
258995136,2.0851,3754.8828,7829.2798
258995175,2.1643,3759.7656,8137.1621
258995215,2.1907,3754.8828,8225.6982
258995254,2.2698,3735.3516,8478.6797
258995294,2.2962,3735.3516,8577.2695
258995334,2.2171,3735.3516,8281.5020
258995373,2.2171,3759.7656,8335.6289
258995412,2.1643,3730.4688,8073.7554
258995451,2.1379,3730.4688,7975.2949
258995491,2.2171,3730.4688,8270.6758
258995531,2.1379,3764.6484,8048.3667
258995570,2.1643,3779.2969,8179.4331
258995610,2.3226,3745.1172,8698.5410
258995649,2.2435,3750.0000,8412.9541
258995689,2.1907,3750.0000,8215.0020
258995729,2.1643,3759.7656,8137.1621
258995768,2.0059,3750.0000,7522.1704
258995808,2.1379,3774.4141,8069.2446
258995847,2.0587,3759.7656,7740.2271
258995887,2.0851,3759.7656,7839.4609
258995927,2.1115,3774.4141,7969.6240
258995965,2.1115,3754.8828,7928.3843
258996005,2.1379,3769.5313,8058.8057
258996044,2.2171,3725.5859,8259.8506
258996084,2.1643,3691.4063,7989.2134
258996123,2.2171,3720.7031,8249.0254
258996163,2.2435,3764.6484,8445.8174
258996203,2.3226,3730.4688,8664.5176
258996242,2.1643,3740.2344,8094.8911
258996282,2.2171,3745.1172,8303.1523
258996321,2.2171,3745.1172,8303.1523
258996361,2.1379,3745.1172,8006.6113
258996401,2.1643,3735.3516,8084.3232
258996440,2.1907,3769.5313,8257.7881
258996480,2.1379,3725.5859,7964.8560
258996518,2.1379,3774.4141,8069.2446
258996558,2.1643,3759.7656,8137.1621
258996598,2.0851,3774.4141,7870.0044
258996637,2.0587,3764.6484,7750.2793
258996677,2.0851,3745.1172,7808.9175
258996716,2.0851,3754.8828,7829.2798
258996756,2.2962,3740.2344,8588.4814
258996796,2.2435,3740.2344,8391.0459
258996835,2.2698,3691.4063,8378.9307
258996875,2.4282,3740.2344,9082.0732
258996914,2.2698,3725.5859,8456.5137
258996954,2.2171,3745.1172,8303.1523
258996994,2.2171,3745.1172,8303.1523
258997032,2.1115,3745.1172,7907.7642
258997072,2.2435,3769.5313,8456.7715
258997111,2.0851,3750.0000,7819.0986
258997151,1.9795,3779.2969,7481.1880
258997191,2.0059,3769.5313,7561.3481
258997230,2.0323,3779.2969,7680.6865
258997270,2.1643,3764.6484,8147.7300
258997309,2.0851,3754.8828,7829.2798
258997349,2.1643,3745.1172,8105.4590
258997388,2.1643,3740.2344,8094.8911
258997428,2.1379,3754.8828,8027.4893
258997468,2.3490,3710.9375,8717.0996
258997507,2.2435,3754.8828,8423.9082
258997547,2.2435,3715.8203,8336.2734
258997585,2.2171,3774.4141,8368.1055
258997625,2.0851,3745.1172,7808.9175
258997665,2.0323,3789.0625,7700.5332
258997704,2.0059,3769.5313,7561.3481
258997744,2.0851,3754.8828,7829.2798
258997783,2.1115,3764.6484,7949.0039
258997823,2.2435,3735.3516,8380.0908
258997863,2.1907,3764.6484,8247.0918
258997902,2.1115,3750.0000,7918.0742
258997942,1.9267,3789.0625,7300.5059
258997981,1.8476,3813.4766,7045.5908
258998021,1.7684,3813.4766,6743.6372
258998061,1.8476,3793.9453,7009.5059
258998099,1.9531,3803.7109,7429.1230
258998139,2.0059,3779.2969,7580.9370
258998178,2.1907,3740.2344,8193.6084
258998218,2.0323,3774.4141,7670.7632
258998258,2.0323,3754.8828,7631.0698
258998297,1.8212,3818.3594,6953.8325
258998337,1.7684,3793.9453,6709.0986
258998376,1.9267,3779.2969,7281.6904
258998416,2.1643,3750.0000,8116.0264
258998456,2.2171,3750.0000,8313.9775
258998495,2.0851,3769.5313,7859.8232
258998535,2.0323,3769.5313,7660.8398
258998574,1.9003,3808.5938,7237.6147
258998614,1.9267,3862.3047,7441.6240
258998652,2.1115,3779.2969,7979.9341
258998692,2.1643,3730.4688,8073.7554
258998732,2.1379,3754.8828,8027.4893
258998771,1.9531,3784.1797,7390.9761
258998811,1.9267,3774.4141,7272.2822
258998850,2.0059,3789.0625,7600.5264
258998890,2.1907,3754.8828,8225.6982
258998930,2.1907,3769.5313,8257.7881
258998969,2.2435,3730.4688,8369.1367
258999009,2.1115,3774.4141,7969.6240
258999048,2.0851,3735.3516,7788.5557
258999088,2.0059,3784.1797,7590.7319
258999128,2.1115,3769.5313,7959.3140
258999166,1.9267,3769.5313,7262.8745
258999206,1.9795,3789.0625,7500.5195
258999245,2.1115,3764.6484,7949.0039
258999285,2.0323,3769.5313,7660.8398
258999325,2.3490,3706.0547,8705.6289
258999364,2.4546,3740.2344,9180.7900
258999404,2.2698,3696.2891,8390.0137
258999443,1.9267,3808.5938,7338.1372
258999483,1.8739,3779.2969,7082.1919
258999523,1.8212,3808.5938,6936.0474
258999562,1.8212,3818.3594,6953.8325
258999602,1.8476,3803.7109,7027.5483
258999641,1.9795,3784.1797,7490.8540
258999681,1.7948,3793.9453,6809.2349
258999720,1.7684,3798.8281,6717.7334
258999759,1.7684,3784.1797,6691.8296
258999799,1.5308,3867.1875,5919.9980
258999838,1.4253,3847.6563,5483.8853
258999878,1.4516,3798.8281,5514.5571
258999917,1.2933,3862.3047,4995.0625
258999957,1.3197,3862.3047,5097.0024
258999997,1.4780,3847.6563,5686.9922
259000036,1.2669,3881.8359,4917.8662
259000076,1.2405,3774.4141,4682.1543
259000115,1.1349,3881.8359,4405.5884
259000155,1.1877,3916.0156,4651.0952
259000195,1.1349,3876.9531,4400.0469
259000233,1.1877,3911.1328,4645.2959
259000273,1.2933,3872.0703,5007.6924
259000312,1.1877,3911.1328,4645.2959
259000352,1.2405,3891.6016,4827.5249
259000392,1.1613,3823.2422,4439.9985
259000431,1.1877,3911.1328,4645.2959
259000471,1.1877,3876.9531,4604.7002
259000510,1.1349,3876.9531,4400.0469
259000550,1.1877,3881.8359,4610.4995
259000590,0.2375,4023.4375,955.7363
259000628,0.2111,4028.3203,850.5744
259000667,0.2375,3989.2578,947.6172
259000705,0.1848,4047.8516,747.8611
259000743,0.2375,4018.5547,954.5764
259000781,0.2375,4023.4375,955.7363
259000820,0.1848,4008.7891,740.6441
259000859,0.3167,4028.3203,1275.8616
259000898,0.2111,4033.2031,851.6054
259000937,0.2375,4028.3203,956.8962
259000975,0.2639,4023.4375,1061.9292
259001015,0.2111,4023.4375,849.5434
259001054,0.2111,4028.3203,850.5744
259001092,0.2903,4033.2031,1170.9574
259001132,0.2639,4023.4375,1061.9292
259001170,0.2111,4028.3203,850.5744
259001209,0.2375,4033.2031,958.0560
259001247,0.2639,4028.3203,1063.2180
259001287,0.3167,4028.3203,1275.8616
259001327,0.2375,4028.3203,956.8962
259001365,0.2375,4028.3203,956.8962
259001404,0.2639,4023.4375,1061.9292
259001443,0.2375,4023.4375,955.7363
259001482,0.2903,4033.2031,1170.9574
259001522,0.2111,4028.3203,850.5744
259001560,0.2639,4047.8516,1068.3729
259001600,0.1848,4028.3203,744.2526
259001637,0.2639,4028.3203,1063.2180
259001677,0.2111,4028.3203,850.5744
259001715,0.2375,4028.3203,956.8962
259001754,0.2375,4033.2031,958.0560
259001793,0.2639,4033.2031,1064.5067
259001832,0.2375,4028.3203,956.8962
259001871,0.2639,4033.2031,1064.5067
259001910,0.2639,4023.4375,1061.9292
259001950,0.2375,4033.2031,958.0560
259001989,0.2639,4038.0859,1065.7954
259002028,0.2639,4033.2031,1064.5067
259002067,0.2375,4033.2031,958.0560
259002105,0.2111,4038.0859,852.6364
259002144,0.2111,4028.3203,850.5744
259002183,0.3431,4028.3203,1382.1833
259002222,0.2375,4028.3203,956.8962
259002261,0.2375,4033.2031,958.0560
259002299,0.2111,4033.2031,851.6054
259002338,0.1848,3999.0234,738.8398
259002376,0.3431,4023.4375,1380.5081
259002416,0.2375,4033.2031,958.0560
259002455,0.2375,4013.6719,953.4166
259002492,0.2903,4033.2031,1170.9574
259002532,0.2639,4033.2031,1064.5067
259002571,0.2639,4033.2031,1064.5067
259002611,0.2375,4033.2031,958.0560
259002650,0.2903,4033.2031,1170.9574
259002689,0.2375,4028.3203,956.8962
259002728,0.3695,4018.5547,1484.8967
259002767,0.2375,4033.2031,958.0560
259002806,0.2111,4028.3203,850.5744
259002844,0.2375,4003.9063,951.0968
259002883,0.2375,3979.4922,945.2974
259002921,0.2903,3950.1953,1146.8578
259002960,0.2639,4028.3203,1063.2180
259003000,0.2639,4028.3203,1063.2180
259003039,0.2903,4023.4375,1168.1222
259003079,0.2903,4028.3203,1169.5398
259003119,0.2903,4101.5625,1190.8042
259003158,0.2639,4057.6172,1070.9504
259003198,0.2111,4038.0859,852.6364
259003236,0.2639,4033.2031,1064.5067
259003276,0.2903,4028.3203,1169.5398
259003316,0.3431,4028.3203,1382.1833
259003355,0.3695,4033.2031,1490.3094
259003395,0.2903,4018.5547,1166.7046
259003433,0.2111,4047.8516,854.6984
259003472,0.2375,4018.5547,954.5764
259003510,0.2903,4038.0859,1172.3750
259003550,0.3431,3994.1406,1370.4558
